broad_reason,zip_prefix3,n
not_in_2020_zcta,674,2
not_in_2020_zcta,675,2
not_in_2020_zcta,680,2
not_in_2020_zcta,684,2
not_in_2020_zcta,687,2
not_in_2020_zcta,717,2
not_in_2020_zcta,732,2
not_in_2020_zcta,733,2
not_in_2020_zcta,742,2
not_in_2020_zcta,807,2
not_in_2020_zcta,822,2
not_in_2020_zcta,835,2
not_in_2020_zcta,869,2
not_in_2020_zcta,872,2
not_in_2020_zcta,883,2
not_in_2020_zcta,885,2
not_in_2020_zcta,888,2
not_in_2020_zcta,909,2
not_in_2020_zcta,966,2
not_in_2020_zcta,974,2
not_in_2020_zcta,978,2
not_in_2020_zcta,999,2
not_in_2020_zcta,004,1
not_in_2020_zcta,032,1
not_in_2020_zcta,039,1
not_in_2020_zcta,052,1
not_in_2020_zcta,092,1
not_in_2020_zcta,094,1
not_in_2020_zcta,128,1
not_in_2020_zcta,163,1
not_in_2020_zcta,167,1
not_in_2020_zcta,170,1
not_in_2020_zcta,179,1
not_in_2020_zcta,214,1
not_in_2020_zcta,289,1
not_in_2020_zcta,353,1
not_in_2020_zcta,408,1
not_in_2020_zcta,412,1
not_in_2020_zcta,426,1
not_in_2020_zcta,434,1
not_in_2020_zcta,449,1
not_in_2020_zcta,455,1
not_in_2020_zcta,457,1
not_in_2020_zcta,500,1
not_in_2020_zcta,501,1
not_in_2020_zcta,509,1
not_in_2020_zcta,510,1
not_in_2020_zcta,516,1
not_in_2020_zcta,518,1
not_in_2020_zcta,520,1
not_in_2020_zcta,533,1
not_in_2020_zcta,536,1
not_in_2020_zcta,548,1
not_in_2020_zcta,557,1
not_in_2020_zcta,558,1
not_in_2020_zcta,560,1
not_in_2020_zcta,568,1
not_in_2020_zcta,569,1
not_in_2020_zcta,572,1
not_in_2020_zcta,579,1
not_in_2020_zcta,583,1
not_in_2020_zcta,589,1
not_in_2020_zcta,607,1
not_in_2020_zcta,614,1
not_in_2020_zcta,623,1
not_in_2020_zcta,628,1
not_in_2020_zcta,629,1
not_in_2020_zcta,649,1
not_in_2020_zcta,657,1
not_in_2020_zcta,659,1
not_in_2020_zcta,660,1
not_in_2020_zcta,665,1
not_in_2020_zcta,670,1
not_in_2020_zcta,678,1
not_in_2020_zcta,686,1
not_in_2020_zcta,689,1
not_in_2020_zcta,694,1
not_in_2020_zcta,696,1
not_in_2020_zcta,698,1
not_in_2020_zcta,709,1
not_in_2020_zcta,726,1
not_in_2020_zcta,739,1
not_in_2020_zcta,771,1
not_in_2020_zcta,811,1
not_in_2020_zcta,818,1
not_in_2020_zcta,823,1
not_in_2020_zcta,831,1
not_in_2020_zcta,842,1
not_in_2020_zcta,849,1
not_in_2020_zcta,859,1
