window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031063100,11.9633077765608,1826,0,1826
2010-2014,pm25,17031710300,11.4676889375685,1826,0,1826
2010-2014,pm25,17031820203,12.1589996349032,1826,0,0
2010-2014,pm25,17031837000,11.5230010952903,1826,0,1826
2010-2014,pm25,17031843500,12.4392113910186,1826,0,0
2010-2014,pm25,17031803016,11.9277108433735,1826,0,0
2010-2014,pm25,17031804316,11.6246805403432,1826,0,0
2010-2014,pm25,17031740200,11.4690580503834,1826,0,0
2010-2014,pm25,17031830001,12.3493975903614,1826,0,0
2010-2014,pm25,17031826902,11.6514238773275,1826,0,0
2010-2014,pm25,17031711500,11.2749178532311,1826,0,0
2010-2014,pm25,17031812700,11.6944140197152,1826,0,0
2010-2014,pm25,17031834700,11.7475355969332,1826,0,1826
2010-2014,pm25,17031611700,11.4589266155531,1826,0,1826
2010-2014,pm25,17031310200,12.6495071193866,1826,0,0
2010-2014,pm25,17031390200,12.13143483023,1826,0,1826
2010-2014,pm25,17031291600,11.9759036144578,1826,0,1826
2010-2014,pm25,17031806202,11.5974808324206,1826,0,0
2010-2014,pm25,17031803100,12.47426067908,1826,0,0
2010-2014,pm25,17031800600,11.4307228915663,1826,0,0
2010-2014,pm25,17031062600,11.3795180722892,1826,0,1826
2010-2014,pm25,17031190300,10.960569550931,1826,0,0
2010-2014,pm25,17031081900,11.815991237678,1826,0,1826
2010-2014,pm25,17031070200,10.4808324205915,1826,0,1826
2010-2014,pm25,17031140602,10.6248630887185,1826,0,1826
2010-2014,pm25,17031804610,12.1133625410734,1826,0,0
2010-2014,pm25,17031010702,11.7124863088719,1826,0,1826
2010-2014,pm25,17031140301,10.6248630887185,1826,0,1826
2010-2014,pm25,17031351500,11.4145673603505,1826,0,1826
2010-2014,pm25,17031270500,12.4353778751369,1826,0,1826
2010-2014,pm25,17031490600,11.6336254107338,1826,0,0
2010-2014,pm25,17031222500,10.986308871851,1826,0,1826
2010-2014,pm25,17031062800,10.8806133625411,1826,0,1826
2010-2014,pm25,17031020802,10.7847754654984,1826,0,0
2010-2014,pm25,17031160700,11.2787513691128,1826,0,1826
2010-2014,pm25,17031071000,10.9008762322015,1826,0,0
2010-2014,pm25,17031711400,11.5054764512596,1826,0,0
2010-2014,pm25,17031811200,12.3214676889376,1826,0,0
2010-2014,pm25,17031836000,11.2053669222344,1826,0,0
2010-2014,pm25,17031410800,11.7415115005476,1826,0,1826
2010-2014,pm25,17031843100,11.5024644030668,1826,0,0
2010-2014,pm25,17031820604,12.1853778751369,1826,0,0
2010-2014,pm25,17031825400,12.1580640744797,1826,0,0
2010-2014,pm25,17031680500,11.947426067908,1826,0,1826
2010-2014,pm25,17031611800,11.2338444687842,1826,0,0
2010-2014,pm25,17031806600,11.9813800657174,1826,0,0
2010-2014,pm25,17031804806,11.47426067908,1826,0,0
2010-2014,pm25,17031822602,11.3511500547645,1826,0,0
2010-2014,pm25,17031818402,12.2669769989047,1826,0,0
2010-2014,pm25,17031803200,12.2877875136911,1826,0,0
2010-2014,pm25,17031804509,12.315169769989,1826,0,0
2010-2014,pm25,17031804510,12.2343921139102,1826,0,0
2010-2014,pm25,17031801400,11.1100766703176,1826,0,0
2010-2014,pm25,17031230100,10.8910186199343,1826,0,1826
2010-2014,pm25,17031221300,10.986308871851,1826,0,1826
2010-2014,pm25,17031062500,11.0421686746988,1826,0,1826
2010-2014,pm25,17031460800,11.4712486308872,1826,0,0
2010-2014,pm25,17031020602,11.1736035049288,1826,0,1826
2010-2014,pm25,17031160900,11.1566265060241,1826,0,1826
2010-2014,pm25,17031100700,11.5939211391019,1826,0,0
2010-2014,pm25,17031063000,11.3483023001095,1826,0,1826
2010-2014,pm25,17031816401,11.7217962760131,1826,0,1826
2010-2014,pm25,17031720600,11.1949616648412,1826,0,0
