model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,sex,Sex,Female,235090,20774,82,3042,0.9716632030794109,0.935119982585885,1.009634483061459,0.14163509701528293,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,sex,Sex,Male,189752,27537,85,2734,0.9576089589859341,0.9186516868818967,0.9982182925529395,0.040941718394989085,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,race_group,Race,White,365846,41708,85,4838,0.9581471052221572,0.9290893560796681,0.9881136504666603,0.006508980865197749,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,race_group,Race,Black,44593,4796,80,675,1.014672351427843,0.93412201428328,1.1021686300178402,0.7299849923248136,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,race_group,Race,Asian,9988,1251,70,210,0.8325855389162381,0.71151433860234925,0.9742582011405636,0.022298857407242845,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,<18,138404,11657,119,1849,1.2772281168832176,1.1697825221658018,1.3945426877610951,4.824625747260031e-8,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,18-39,173561,11311,161,1182,1.2752406241709897,1.135002121807591,1.4328067043135453,4.305896106608604e-5,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,40-59,421723,33246,137,4100,1.3272966510905244,1.2439736142842748,1.4162007777067942,1.1320233681265188e-17,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,60+,235497,25908,128,3641,1.2479086246522404,1.1595162504948888,1.3430393362894149,3.4533459850715744e-9,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Female,263915,23521,167,2965,1.3510044499043128,1.255476084633665,1.4538015068553323,8.933417962588119e-16,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Male,705270,58601,168,7807,1.2622079628285228,1.203842913662108,1.3234026826484242,5.408546468728413e-22,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,White,690238,58387,167,7655,1.2907076211196653,1.2309616460947626,1.3533534277867647,4.9136497216076886e-26,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,Black,241008,19425,167,2648,1.3025963199519306,1.2021587092058195,1.411425263369126,1.0660934552122566e-10,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,Asian,23365,2727,151,288,1.2306496171139552,0.958098238001189,1.580734020826834,0.10419567915024773,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,<18,623042,18441,191,629,0.7565965880608305,0.6266884724730026,0.9134337429350918,0.003707729080606032,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,18-39,4420600,106990,275,10908,0.8115323795609046,0.7765732368873601,0.8480652844997671,1.4684838097486427e-20,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,40-59,10548133,290185,240,60058,0.894640863766351,0.8783032297778671,0.9112823999554556,2.4375345533009783e-32,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,60+,5971521,212516,239,59857,0.912521936247207,0.8955141261705954,0.9298527625612498,1.4770806777688475e-21,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Female,8490889,242514,279,48957,0.8775982963073644,0.8597283994612934,0.8958396281478934,1.6004707831488401e-35,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Male,13072407,385618,280,82495,0.9064502478693418,0.8921843437345006,0.9209442618362078,6.869983074048035e-34,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,White,12432368,391774,280,79993,0.8886547394463744,0.8742730513297631,0.9032730046286621,1.2128318297266488e-45,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,Black,7060277,180140,277,40455,0.8969549309395216,0.8768148702031634,0.9175576002153201,6.2536296243674215e-21,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,Asian,1636383,42589,272,8306,0.8921552593145435,0.8495697219883308,0.936875439557547,4.810099197491427e-6,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,<18,167589,13238,112,1132,1.0767587590740635,0.9737599631514899,1.1906521823821847,0.14940679176896673,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,18-39,360282,23082,151,2798,1.1022211010224146,1.0295693834693456,1.1799994978922526,0.005148620742203552,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,40-59,1836534,115364,134,22416,1.0208482033283717,0.9958940538211728,1.0464276297666237,0.10223369139410432,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,age_group,Age group,60+,993312,81160,129,19135,0.9684106098428785,0.9401086908873146,0.9975645564675103,0.033913957269877205,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Female,1295117,88520,162,18128,1.0166886716629535,0.9877380475651544,1.0464878391956423,0.26147789694825907,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,sex,Sex,Male,2062600,144324,162,27353,1.0119073322915098,0.9890888335927112,1.0352522588147697,0.3090653442560958,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,White,2871897,198255,163,39019,1.0011301468988756,0.9816596314351818,1.020986846086828,0.9102541944316792,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,no2,Monthly/annual NO2 per 10 ppb,race_group,Race,Black,273464,19766,157,3870,1.07771908840818,1.017803722628274,1.1411615105121384,0.010328111764233334,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
