model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,sex,Sex,Male,26767,26767,84,2638,1.0092536773805845,0.892523002791738,1.1412512418393232,0.8832277230352354,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,race_group,Race,White,40357,40357,84,4667,0.9512376406446551,0.8681943737548331,1.042224041450341,0.2834452671078217,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,race_group,Race,Black,4673,4673,79,659,1.1809865232683483,0.8733855307455066,1.5969226865379194,0.27988596513339975,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,race_group,Race,Asian,1221,1221,70,208,0.8604129178387343,0.5452645023768664,1.357708755946283,0.518280411002209,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,age_group,Age group,<18,1153,1153,59,263,0.9565224781398084,0.7633163033755928,1.1986318740221154,0.6994032291276326,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,age_group,Age group,18-39,5442,5442,80,745,1.0178452791799135,0.8887716582227086,1.1656638718887151,0.7982164345782072,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,age_group,Age group,40-59,17151,17151,75,2109,1.1188120282191494,1.031516363169014,1.2134953929788017,0.006756727308326935,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,age_group,Age group,60+,26655,26655,74,2558,1.2174058358723443,1.1237213066060614,1.318900834667191,1.4719673799655949e-6,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,sex,Sex,Female,21413,21413,84,2984,1.1094352729408246,1.0363735612352611,1.1876476503107882,0.002809235257835093,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,sex,Sex,Male,28988,28988,84,2691,1.1628002503717205,1.0777858740781514,1.2545204523310474,9.870027982800402e-5,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,race_group,Race,White,43277,43277,84,4741,1.1393694020155591,1.0771978944525216,1.2051291976476388,5.17811863374914e-6,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,race_group,Race,Black,5087,5087,82,667,1.084889165241967,0.9417236477819773,1.2498194174390116,0.2591479273474328,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,no2,NO2 per 10 ppb,race_group,Race,Asian,1369,1369,71,216,1.2945867913482192,0.9805297855667496,1.709234115070324,0.06856618523782898,age + sex + zcta_svi_proxy + strata(listing_center),NA
