model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error,hazard_ratio_ci,p_value_display
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,40-59,102801,102801,129,20444,1.0360407570803238,0.9955791263807213,1.0781468010821844,0.08151238351175158,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.04 (1.00-1.08),0.082
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,60+,73801,73801,125,18233,1.041022281233723,0.9958357133238868,1.0882592133674485,0.0757896712770686,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.04 (1.00-1.09),0.076
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,sex,Sex,Female,78893,78893,157,16746,1.0357963822084642,0.9899327316089196,1.0837848988510768,0.12799017682778946,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.04 (0.99-1.08),0.128
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,sex,Sex,Male,129699,129699,157,25355,1.0336079912411191,0.9966943750239318,1.071888741753809,0.0748285351126289,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.03 (1.00-1.07),0.075
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,White,177692,177692,158,36113,1.0283646478216313,0.9972862858358733,1.0604115026037264,0.07403354158563626,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.03 (1.00-1.06),0.074
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,Black,17893,17893,155,3574,1.0203381488004089,0.9092305399058367,1.145023063133432,0.7321376009846827,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.02 (0.91-1.15),0.732
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,Asian,9038,9038,146,1707,1.0031810303976123,0.8843954939374286,1.1379209716109393,0.9606063430545757,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.00 (0.88-1.14),0.961
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,<18,12455,12455,108,987,1.1455713566384744,1.027654332170297,1.277018635613597,0.0141998032973162,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.15 (1.03-1.28),0.014
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,18-39,22054,22054,149,2556,1.078504896422985,1.0039870015031767,1.158553656438622,0.03855627306885949,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.08 (1.00-1.16),0.039
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,40-59,109010,109010,131,20759,0.9985055876132505,0.974543166765789,1.0230572051555864,0.9039524828771042,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.00 (0.97-1.02),0.904
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,60+,79040,79040,127,18545,0.9729314056811187,0.9453183386024038,1.0013510597500117,0.061754463180838645,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.97 (0.95-1.00),0.062
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,sex,Sex,Female,84828,84828,160,17082,0.9936999076967782,0.9660912736777724,1.022097532045335,0.660215751306306,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.99 (0.97-1.02),0.660
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,sex,Sex,Male,137731,137731,160,25765,1.0000426752924552,0.9776558012941692,1.0229421756432384,0.9970523732982605,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.00 (0.98-1.02),0.997
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,White,189454,189454,161,36744,0.9916879390156468,0.9727633338665362,1.0109807125234742,0.39584719190408724,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.99 (0.97-1.01),0.396
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,Black,18831,18831,156,3625,1.0593371404964318,0.999154997681644,1.123144236719033,0.05340446254330053,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.06 (1.00-1.12),0.053
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,Asian,9597,9597,146,1736,1.0097918386884752,0.9306630642399557,1.0956484646939257,0.8149527439896797,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.01 (0.93-1.10),0.815
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,1120,1120,59,262,0.9445358307530193,0.7020831498953046,1.270715492473127,0.706161476408872,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.94 (0.70-1.27),0.706
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,5205,5205,78,736,1.2948255530359698,1.0772353178114884,1.5563667335016749,0.005913442637545995,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.29 (1.08-1.56),0.006
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,16191,16191,74,2086,1.1386432540943816,1.023072369782171,1.2672695484589138,0.017421827768242158,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.14 (1.02-1.27),0.017
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,24272,24272,74,2498,1.144179009257629,1.0314998197267988,1.2691670712773437,0.01088758174882915,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.14 (1.03-1.27),0.011
