organ_label,outcome_label,pollutant,exposure,n,term,term_type,coefficient_ci,transformed_measure,transformed_ci,p_value_display,adjustment_set
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,no2_prior_10ppb,pollutant,-1.0366 (-1.1132 to -0.9601),mean_difference,-1.04 (-1.11 to -0.96),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,age,covariate,-0.0969 (-0.1000 to -0.0939),mean_difference,-0.10 (-0.10 to -0.09),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,sexM,covariate,-0.7463 (-0.8275 to -0.6650),mean_difference,-0.75 (-0.83 to -0.67),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,raceBLACK,covariate,2.6764 (2.4377 to 2.9152),mean_difference,2.68 (2.44 to 2.92),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,raceMULTI,covariate,0.6932 (0.1402 to 1.2463),mean_difference,0.69 (0.14 to 1.25),0.014,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,raceMissing,covariate,3.7991 (3.1409 to 4.4573),mean_difference,3.80 (3.14 to 4.46),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,raceNATIVE,covariate,2.9569 (2.5047 to 3.4090),mean_difference,2.96 (2.50 to 3.41),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,racePACIFIC,covariate,2.5028 (1.5212 to 3.4844),mean_difference,2.50 (1.52 to 3.48),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,raceWHITE,covariate,1.0767 (0.8793 to 1.2742),mean_difference,1.08 (0.88 to 1.27),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,zcta_svi_proxy,covariate,0.4702 (0.2371 to 0.7032),mean_difference,0.47 (0.24 to 0.70),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,(Intercept),intercept,-12.1579 (-12.3883 to -11.9276),mean_difference,-12.16 (-12.39 to -11.93),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,pm25_prior_5ug,pollutant,-0.6006 (-0.6243 to -0.5770),mean_difference,-0.60 (-0.62 to -0.58),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,age,covariate,0.0176 (0.0170 to 0.0182),mean_difference,0.02 (0.02 to 0.02),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,sexM,covariate,-0.0680 (-0.0886 to -0.0475),mean_difference,-0.07 (-0.09 to -0.05),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,raceBLACK,covariate,0.0074 (-0.0481 to 0.0629),mean_difference,0.01 (-0.05 to 0.06),0.794,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,raceMULTI,covariate,-0.2137 (-0.3320 to -0.0955),mean_difference,-0.21 (-0.33 to -0.10),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,raceMissing,covariate,0.2896 (0.0918 to 0.4874),mean_difference,0.29 (0.09 to 0.49),0.004,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,raceNATIVE,covariate,-0.0710 (-0.2212 to 0.0791),mean_difference,-0.07 (-0.22 to 0.08),0.354,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,racePACIFIC,covariate,-0.0444 (-0.2274 to 0.1385),mean_difference,-0.04 (-0.23 to 0.14),0.634,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,raceWHITE,covariate,-0.1955 (-0.2477 to -0.1432),mean_difference,-0.20 (-0.25 to -0.14),<.001,age + sex + race + zcta_svi_proxy + listing_center
