organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,4,173821,43423,8601,0.7540655969726529
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,5,173755,43489,8685,0.7544289247158135
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,1,173807,43437,8439,0.757015462597227
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,2,173789,43455,8525,0.7561784249282227
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,3,173804,43440,8434,0.7602780044427208
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,4,173821,43423,8601,0.755101522193335
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,5,173755,43489,8685,0.7547750989617725
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,1,173807,43437,8439,0.5046618429939888
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,2,173789,43455,8525,0.5008547496883202
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,3,173804,43440,8434,0.505034162627825
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,4,173821,43423,8601,0.5046741235976855
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,5,173755,43489,8685,0.5092990576925576
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,1,173807,43437,8439,0.5533397383180886
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,2,173789,43455,8525,0.5440606549342488
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,3,173804,43440,8434,0.5424509133391953
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,4,173821,43423,8601,0.5454089685314747
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,5,173755,43489,8685,0.5443993218268739
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,1,173807,43437,8439,0.7560181947702429
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,2,173789,43455,8525,0.75543857194229
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,3,173804,43440,8434,0.7593698926221784
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,4,173821,43423,8601,0.753450937266912
