section,table,variable,old_2506,new_2603,variable_status
pubsaf,cand_liin,CAN_MUSCLE_WASTING,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_NEOPLASM,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_NEW_PREV_PI_TX,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_NON_RECON_GI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PEPTIC_ULCER,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PERIPH_VASC,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PERM_STATE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PGE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PHYSC_CAPACITY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PORTAL_VEIN,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PRELIM_XMATCH_REQUEST,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PREV_ABDOM_SURG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_PREV_BONE_MARROW_DT,TRUE,TRUE,present_in_both
