time_days,years_since_listing,stratum,n_risk,cumulative_death,standard_error,quartile,pollutant,quartile_group,quartile_label
1308.8125,3.5833333333333335,exposure_quartile=3,80332,0.11992210418792815,8.68615288931281e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1339.25,3.6666666666666665,exposure_quartile=3,78372,0.12287753340812524,8.843297574335746e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1369.6875,3.75,exposure_quartile=3,76504,0.1257613791409946,8.996741270321548e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1400.125,3.8333333333333335,exposure_quartile=3,74522,0.12910118379895275,9.174377124722312e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1430.5625,3.9166666666666665,exposure_quartile=3,72738,0.13172119534679394,9.313778662700042e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1461,4,exposure_quartile=3,70873,0.13491889103160848,9.484372145180125e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1491.4375,4.083333333333333,exposure_quartile=3,68928,0.13777384569160556,9.637302081434858e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1521.875,4.166666666666667,exposure_quartile=3,67262,0.1405409527246857,9.78609555263484e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1552.3125,4.25,exposure_quartile=3,65718,0.14325170154092726,9.932408907204111e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1582.75,4.333333333333333,exposure_quartile=3,64159,0.14635950748375504,0.0010100308699043823,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1613.1875,4.416666666666667,exposure_quartile=3,62643,0.1492236647200662,0.0010255311611797632,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1643.625,4.5,exposure_quartile=3,61157,0.152500138389005,0.001043252490286857,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1674.0625,4.583333333333333,exposure_quartile=3,59672,0.15545276259519458,0.0010592359791283415,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1704.5,4.666666666666667,exposure_quartile=3,58234,0.15849730325878453,0.001075764264702681,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1734.9375,4.75,exposure_quartile=3,56844,0.16156421572139557,0.0010924640252655505,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1765.375,4.833333333333333,exposure_quartile=3,55450,0.1648596632349496,0.001110433966702855,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
