model,organ,pollutant,subgroup,subgroup_level,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
baseline_prior_year,KI,pm25,age_group,40-59,229697,229697,53839,0.8854403421440011,0.8672334305810331,0.9040294940784452,1.7093939852816696e-30,260777,260777,55839,0.8927513233136057,0.8746751585984748,0.911201052691682,1.6009994669342414e-27,31080,31080,2000,0.007310981169604602,0.0074417280174416955,0.007171558613236706,1.5992900729489597e-27,0.8256887360589271,FALSE,FALSE
baseline_prior_year,KI,pm25,age_group,60+,163299,163299,54158,0.967298162839892,0.9468879274331437,0.9881483422962892,0.00224540903872865,191312,191312,57077,0.974343239134336,0.9541006556400926,0.9950152974267564,0.01524606470576991,28013,28013,2919,0.007045076294443953,0.0072127282069489596,0.0068669551304672005,0.013000655667041259,0.7283252015862773,FALSE,FALSE
baseline_prior_year,KI,pm25,sex,Female,189917,189917,43782,0.9181927700361258,0.8970363976358083,0.9398481100305348,7.178743984635638e-13,217410,217410,45639,0.9231623258170462,0.9021874610078204,0.9446248331316044,9.223171547647944e-12,27493,27493,1857,0.004969555780920398,0.005151063372012099,0.00477672310106958,8.505297149184381e-12,0.5412322927270452,FALSE,FALSE
baseline_prior_year,KI,pm25,sex,Male,302280,302280,74222,0.9234829484902484,0.9070719565289382,0.9401908525710608,3.2814003954436467e-18,346769,346769,77660,0.9313568103020236,0.915059778702442,0.947944088774148,2.8931103853016128e-15,44489,44489,3438,0.007873861811775185,0.0079878221735038,0.00775323620308721,2.889828984906169e-15,0.8526266591762921,FALSE,FALSE
baseline_prior_year,KI,pm25,race_group,White,308688,308688,71891,0.9382509491114228,0.921557078136458,0.9552472271046184,3.439486004849484e-12,352387,352387,75174,0.9481940511496214,0.9316766411032872,0.9650042933037948,2.9748820955904704e-9,43699,43699,3283,0.009943102038198592,0.010119562966829143,0.009757066199176379,2.971442609585621e-9,1.059748678923822,FALSE,FALSE
baseline_prior_year,KI,pm25,race_group,Black,140807,140807,36211,0.8773265223264467,0.853476242859314,0.9018432946636734,1.3162286499989136e-20,161674,161674,37751,0.8759252002647905,0.8520552752679653,0.9004638299054252,5.589253792535495e-21,20867,20867,1540,-0.0014013220616562183,-0.0014209675913486874,-0.0013794647582482389,-7.57303270745364e-21,-0.15972639900823093,FALSE,FALSE
baseline_prior_year,KI,pm25,race_group,Asian,33177,33177,7530,0.9240526299454432,0.8767900986881477,0.97386280272399794,0.00319127115666143,38375,38375,7852,0.9388190036606094,0.8923738911672435,0.9876814307973922,0.01473696428529913,5198,5198,322,0.014766373715166203,0.015583792479095804,0.01381862807339429,0.0115456931286377,1.5980013731510034,FALSE,FALSE
baseline_prior_year,KI,o3,age_group,<18,17608,17608,556,1.094262612903635,0.8563188826911374,1.3983233234745571,0.4714850902255177,16636,16636,549,1.045985450825654,0.8171501483444765,1.338903952419923,0.721156954225105,-972,-972,-7,-0.04827716207798094,-0.039168734346660905,-0.05941937105463402,0.24967186399958724,-4.411844241838536,FALSE,FALSE
baseline_prior_year,KI,o3,age_group,18-39,100917,100917,9889,1.022613314811602,0.9654629382767804,1.083146695922344,0.4460004664647188,95454,95454,9834,1.0267523917363142,0.9689649226857124,1.0879862100830475,0.3717165429319348,-5463,-5463,-55,0.0041390769247122705,0.003501984408932013,0.004839514160703606,-0.07428392353278401,0.4047548437675852,FALSE,FALSE
baseline_prior_year,KI,o3,age_group,40-59,276105,276105,56074,1.0486530582162257,1.0239562120257943,1.0739455687569397,9.350669755972894e-5,260777,260777,55839,1.0483762448708551,1.0234684807615673,1.07389017978519,1.1772472875116388e-4,-15328,-15328,-235,-0.00027681334537055236,-4.877312642270759e-4,-5.538897174961477e-5,2.4218031191434937e-5,-0.026397037914660526,FALSE,FALSE
