time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
10,0.32701846960595027,0.6727266705238175,0,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis 1 to <3 y,32.70184696059503,67.27266705238175
1,0.05961759017277959,0.21262302763666732,7642,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis 1 to <3 y,5.961759017277958,21.26230276366673
3,0.20628320904242933,0.4463628098553353,3244,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis 1 to <3 y,20.628320904242933,44.636280985533524
5,0.29476905702188355,0.5837036581169722,914,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis 1 to <3 y,29.476905702188354,58.37036581169722
10,0.34343194975100366,0.6561400778211878,0,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis 1 to <3 y,34.34319497510037,65.61400778211878
1,0.06977989778110118,0.2663484662214395,4380,quartile=Q2,Q2,o3,O[3],Dialysis 1 to <3 y,6.977989778110118,26.634846622143947
3,0.2039433094557062,0.5265759519668031,1525,quartile=Q2,Q2,o3,O[3],Dialysis 1 to <3 y,20.394330945570623,52.657595196680305
5,0.2751816455305245,0.6443899205127812,345,quartile=Q2,Q2,o3,O[3],Dialysis 1 to <3 y,27.51816455305245,64.43899205127812
10,0.3110876031446352,0.688912396855366,0,quartile=Q2,Q2,o3,O[3],Dialysis 1 to <3 y,31.108760314463517,68.8912396855366
1,0.05564232700090642,0.22017139929988924,7289,quartile=Q3,Q3,o3,O[3],Dialysis 1 to <3 y,5.564232700090642,22.017139929988925
3,0.20862953227218045,0.48419766482675347,2658,quartile=Q3,Q3,o3,O[3],Dialysis 1 to <3 y,20.862953227218046,48.41976648267535
5,0.2995861960465169,0.602203924497539,640,quartile=Q3,Q3,o3,O[3],Dialysis 1 to <3 y,29.958619604651687,60.2203924497539
10,0.34037635756406337,0.6596236424359374,0,quartile=Q3,Q3,o3,O[3],Dialysis 1 to <3 y,34.03763575640634,65.96236424359374
1,0.060379209237822556,0.23724845639029848,11168,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis 1 to <3 y,6.037920923782256,23.724845639029848
3,0.1956555911437205,0.4909652195471562,4239,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis 1 to <3 y,19.56555911437205,49.09652195471562
5,0.2803802065920638,0.6223835041200552,991,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis 1 to <3 y,28.03802065920638,62.238350412005516
10,0.3242584008546309,0.6753995879398256,0,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis 1 to <3 y,32.42584008546309,67.53995879398256
1,0.0642152979489281,0.25418990331621233,3054,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis 1 to <3 y,6.421529794892809,25.418990331621234
3,0.20487006057936605,0.5210363243011435,1066,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis 1 to <3 y,20.487006057936604,52.10363243011435
5,0.28094802309175904,0.6503387995770811,194,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis 1 to <3 y,28.094802309175904,65.03387995770811
10,0.3109647317311501,0.6890352682688504,0,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis 1 to <3 y,31.096473173115008,68.90352682688504
1,0.06816005106648318,0.25550568816078867,3580,quartile=Q2,Q2,pm25,PM[2.5],Dialysis 1 to <3 y,6.816005106648318,25.550568816078865
3,0.20404720068511115,0.525503261337164,1232,quartile=Q2,Q2,pm25,PM[2.5],Dialysis 1 to <3 y,20.404720068511114,52.550326133716396
