time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
10,0.17953757473431686,0.8067042060995981,177,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,17.953757473431686,80.67042060995982
1,0.12359634046115063,0.5774038262894264,17081,quartile=Q2,Q2,no2,NO[2],ppb,Liver,12.359634046115064,57.74038262894264
3,0.17350936278588097,0.7012965839012814,5685,quartile=Q2,Q2,no2,NO[2],ppb,Liver,17.350936278588097,70.12965839012814
5,0.19382551692877165,0.739199959420811,2396,quartile=Q2,Q2,no2,NO[2],ppb,Liver,19.382551692877165,73.9199959420811
10,0.21100954518827814,0.7730608211124045,291,quartile=Q2,Q2,no2,NO[2],ppb,Liver,21.100954518827812,77.30608211124044
1,0.13250771058714159,0.5661329984628188,16700,quartile=Q3,Q3,no2,NO[2],ppb,Liver,13.25077105871416,56.61329984628188
3,0.18463866977076962,0.6924660301840835,5557,quartile=Q3,Q3,no2,NO[2],ppb,Liver,18.46386697707696,69.24660301840835
5,0.2035159994392141,0.7301962401326181,2422,quartile=Q3,Q3,no2,NO[2],ppb,Liver,20.35159994392141,73.0196240132618
10,0.2193434323239455,0.7643411925250734,343,quartile=Q3,Q3,no2,NO[2],ppb,Liver,21.93434323239455,76.43411925250734
1,0.15452386081666056,0.5259167479259947,17758,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,15.452386081666056,52.59167479259948
3,0.2148548649444342,0.6499485223490699,6195,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,21.48548649444342,64.99485223490699
5,0.23927862680875814,0.6864935039870456,2782,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,23.927862680875815,68.64935039870456
10,0.2592336451076868,0.7225394570760175,396,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,25.923364510768682,72.25394570760176
1,0.145142390027046,0.543515552289598,15232,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,14.514239002704599,54.3515552289598
3,0.2008264064263786,0.6755357007808691,4798,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,20.082640642637863,67.5535700780869
5,0.2203336514429654,0.7107301421247338,2082,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,22.03336514429654,71.07301421247338
10,0.23718698903384286,0.7437113180232425,300,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,23.718698903384286,74.37113180232426
1,0.1273160891090289,0.5597722445315138,14893,quartile=Q2,Q2,o3,O[3],ppb,Liver,12.731608910902889,55.97722445315137
3,0.1811418176918741,0.6900323537756141,4801,quartile=Q2,Q2,o3,O[3],ppb,Liver,18.11418176918741,69.00323537756141
5,0.20299855175240086,0.7287099285266196,1898,quartile=Q2,Q2,o3,O[3],ppb,Liver,20.299855175240086,72.87099285266197
10,0.2206473440998629,0.7624181077794134,215,quartile=Q2,Q2,o3,O[3],ppb,Liver,22.06473440998629,76.24181077794134
1,0.12989416414829927,0.5608350016948217,14160,quartile=Q3,Q3,o3,O[3],ppb,Liver,12.989416414829927,56.08350016948217
3,0.1824734720600437,0.6793191016959017,4731,quartile=Q3,Q3,o3,O[3],ppb,Liver,18.24734720600437,67.93191016959017
5,0.2052052597285127,0.7152965236743295,2131,quartile=Q3,Q3,o3,O[3],ppb,Liver,20.52052597285127,71.52965236743294
10,0.2253633339628426,0.7534128519027885,294,quartile=Q3,Q3,o3,O[3],ppb,Liver,22.53633339628426,75.34128519027885
1,0.1362580095361999,0.5429712086982366,16076,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,13.62580095361999,54.29712086982366
3,0.1941676194245447,0.6617475682833964,5563,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,19.416761942454468,66.17475682833964
5,0.21904314654150206,0.7012712431856938,2391,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,21.904314654150205,70.12712431856937
10,0.24056838175093345,0.7404285848138829,297,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,24.056838175093347,74.04285848138828
1,0.13132890388772525,0.5526298299094267,17042,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Liver,13.132890388772525,55.26298299094267
3,0.184511735755953,0.6871029610360555,5382,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Liver,18.451173575595302,68.71029610360554
5,0.2050786324250749,0.7256236747418391,2196,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Liver,20.50786324250749,72.56236747418392
10,0.22130195843777903,0.7602884183149314,272,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Liver,22.1301958437779,76.02884183149314
1,0.12528212370804784,0.5549759696053785,14668,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Liver,12.528212370804784,55.497596960537855
3,0.17712841144961497,0.6873271757281711,4677,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Liver,17.712841144961498,68.73271757281711
5,0.1973064842282315,0.7249921466512931,2054,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Liver,19.73064842282315,72.4992146651293
10,0.21585549490626252,0.7641786368790842,264,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Liver,21.585549490626253,76.41786368790842
1,0.13354177614630655,0.5339991708105655,14295,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Liver,13.354177614630656,53.39991708105655
3,0.1917270717520474,0.6583329198129998,5053,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Liver,19.17270717520474,65.83329198129998
5,0.21614549096085933,0.6985595383713623,2241,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Liver,21.614549096085934,69.85595383713623
10,0.23772203427673855,0.7387034159544558,344,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Liver,23.772203427673855,73.87034159544558
1,0.14810704099343835,0.5622254446583111,14356,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Liver,14.810704099343836,56.22254446583111
