step_file,step_dir,organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
lu_single_pollutant_ozone_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.652171257681755,4.02039336776404,0.995373027600321,0.7209946819639602,1.374167506167201,60514,41045,4635,0.797123748405304,0.04044368765023223,1,0.8406155652963789
lu_single_pollutant_ozone_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.652171257681755,4.02039336776404,0.9986927833691516,0.7170472485223469,1.3909645112075752,60514,41045,4635,0.7974716820659528,8.172217271133372,3,0.04258340186186196
lu_single_pollutant_pm25_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,single_pollutant_pm25_cumulative_linear,cumulative,linear,p75_vs_p25,1.3936627246963371,1.924045735845963,0.9814504566706996,0.6717623188527513,1.433907457840406,60514,41045,4635,0.7973325086016934,0.3116170873948125,1,0.5766895670991989
lu_single_pollutant_pm25_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.3936627246963371,1.924045735845963,1.0624028901260394,0.72387011354306,1.559257496380971,60514,41045,4635,0.7971546758418062,4.021555445979045,3,0.2591459188428165
lu_single_pollutant_pm25_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3840508609401936,1.898354811687448,0.9850464003409056,0.7437002276463232,1.3047144195389748,60514,41045,4635,0.79734024046081875,0.21986005508855008,1,0.6391465700563733
lu_single_pollutant_pm25_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3840508609401936,1.898354811687448,1.0620643864280888,0.7958021954129939,1.417413482170013,60514,41045,4635,0.7969845749410446,4.955744615729422,3,0.17506657218761754
ki_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_ki_seq,KI,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.4699137410747527,2.0152706385358936,1.0058212066068075,0.9245752990632684,1.0942064974966903,2781314,673351,116044,0.7446120622162578,0.3663464522332614,1,0.5450025312841821
ki_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_ki_seq,KI,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.612419568100319,4.038783887454444,1.031178124658156,0.8994640866727702,1.182179856348568,2781314,673351,116044,0.7446120622162578,26.64152581517086,1,2.44922656281707e-7
ki_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_ki_seq,KI,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.5522583179125579,1.38809525966644,0.9834234694163642,0.9204216012624252,1.050737747650034,2781314,673351,116044,0.7446120622162578,2.4564493784812917,1,0.1170430881387509
ki_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_ki_seq,KI,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.4699137410747527,2.0152706385358936,1.0123193859348707,0.928337312922186,1.1038989006202449,2781314,673351,116044,0.7446289012865974,1.17764411872184,3,0.7583710165548798
ki_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_ki_seq,KI,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.612419568100319,4.038783887454444,1.0279482316232058,0.8954709080716565,1.180024451238476,2781314,673351,116044,0.7446289012865974,29.177382859498223,3,2.055230072375065e-6
ki_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_ki_seq,KI,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.5522583179125579,1.38809525966644,0.9731433243950908,0.9063127018287788,1.0449019724691428,2781314,673351,116044,0.7446289012865974,4.423243090903318,3,0.2192398658678195
ki_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_ki_seq,KI,PM2.5,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.4259236324696245,1.9335416455601544,1.0108077174015355,0.8675822535123737,1.1776776639010984,2781314,673351,116044,0.7445997922839067,1.9463090287043077,1,0.16298514386951296
ki_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_ki_seq,KI,Ozone,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.6007414174079906,4.020549310113662,1.0272981022270713,0.9210088761278012,1.1458536591702737,2781314,673351,116044,0.7445997922839067,22.37475373685875,1,2.2430322970311743e-6
