center_code,organ,n_candidates,organ_label,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
GAMC,HR,3,Heart,TX1,3,"Wellstar MCG Health, affiliated with Medical College of Georgia",Augusta,GA,30912,USA,-81.98876497041985,33.470898500000004,zip_zcta
GAMC,KI,4770,Kidney,TX1,3,"Wellstar MCG Health, affiliated with Medical College of Georgia",Augusta,GA,30912,USA,-81.98876497041985,33.470898500000004,zip_zcta
GAPH,HR,362,Heart,TX1,3,Piedmont Hospital,Atlanta,GA,30309,USA,-84.39011283349834,33.797893,zip_zcta
GAPH,KI,6903,Kidney,TX1,3,Piedmont Hospital,Atlanta,GA,30309,USA,-84.39011283349834,33.797893,zip_zcta
GAPH,LI,2732,Liver,TX1,3,Piedmont Hospital,Atlanta,GA,30309,USA,-84.39011283349834,33.797893,zip_zcta
GASJ,HR,109,Heart,TX1,3,Saint Joseph's Hospital of Atlanta,Atlanta,GA,30342,USA,-84.37215344668725,33.881624,zip_zcta
IAIM,KI,1412,Kidney,TX1,8,Iowa Methodist Medical Center,Des Moines,IA,50309,USA,-93.62086621637116,41.5836865,zip_zcta
IAIV,HR,389,Heart,TX1,8,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242,USA,-91.54473753744934,41.6620355,zip_zcta
IAIV,KI,2560,Kidney,TX1,8,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242,USA,-91.54473753744934,41.6620355,zip_zcta
IAIV,LI,831,Liver,TX1,8,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242,USA,-91.54473753744934,41.6620355,zip_zcta
IAIV,LU,324,Lung,TX1,8,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242,USA,-91.54473753744934,41.6620355,zip_zcta
IAMH,KI,555,Kidney,TX1,8,MercyOne Des Moines Transplant Center,Des Moines,IA,50314,USA,-93.62768444403602,41.60393,zip_zcta
IAVA,KI,948,Kidney,TX1,8,The Iowa City VA Health Care System,Iowa City,IA,52246,USA,-91.60399910262069,41.645953000000006,zip_zcta
ILCH,HR,534,Heart,TX1,7,Advocate Christ Medical Center,Oak Lawn,IL,60453,USA,-87.74415357782576,41.709002999999996,zip_zcta
ILCH,KI,893,Kidney,TX1,7,Advocate Christ Medical Center,Oak Lawn,IL,60453,USA,-87.74415357782576,41.709002999999996,zip_zcta
ILCH,LU,48,Lung,TX1,7,Advocate Christ Medical Center,Oak Lawn,IL,60453,USA,-87.74415357782576,41.709002999999996,zip_zcta
ILCM,HR,414,Heart,TX1,7,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILCM,KI,470,Kidney,TX1,7,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILCM,LI,350,Liver,TX1,7,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILLU,HR,482,Heart,TX1,7,Loyola University Medical Center,Maywood,IL,60153,USA,-87.84378726274807,41.8810675,zip_zcta
ILLU,KI,3840,Kidney,TX1,7,Loyola University Medical Center,Maywood,IL,60153,USA,-87.84378726274807,41.8810675,zip_zcta
ILLU,LI,1429,Liver,TX1,7,Loyola University Medical Center,Maywood,IL,60153,USA,-87.84378726274807,41.8810675,zip_zcta
ILLU,LU,891,Lung,TX1,7,Loyola University Medical Center,Maywood,IL,60153,USA,-87.84378726274807,41.8810675,zip_zcta
ILMM,KI,1060,Kidney,TX1,7,Springfield Memorial Hospital,Springfield,IL,62781,USA,-89.64,39.78,city_state
ILNM,HR,735,Heart,TX1,7,Northwestern Memorial Hospital,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILNM,KI,7848,Kidney,TX1,7,Northwestern Memorial Hospital,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILNM,LI,2681,Liver,TX1,7,Northwestern Memorial Hospital,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILNM,LU,459,Lung,TX1,7,Northwestern Memorial Hospital,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILPL,HR,94,Heart,TX1,7,Rush University Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILPL,KI,3471,Kidney,TX1,7,Rush University Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILPL,LI,1176,Liver,TX1,7,Rush University Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILSF,HR,52,Heart,TX1,7,OSF Saint Francis Medical Center,Peoria,IL,61637,USA,-89.61,40.74,city_state
ILSF,KI,1843,Kidney,TX1,7,OSF Saint Francis Medical Center,Peoria,IL,61637,USA,-89.61,40.74,city_state
ILUC,HR,793,Heart,TX1,7,University of Chicago Medical Center,Chicago,IL,60637,USA,-87.60027391069528,41.782363000000004,zip_zcta
ILUC,KI,3210,Kidney,TX1,7,University of Chicago Medical Center,Chicago,IL,60637,USA,-87.60027391069528,41.782363000000004,zip_zcta
ILUC,LI,1134,Liver,TX1,7,University of Chicago Medical Center,Chicago,IL,60637,USA,-87.60027391069528,41.782363000000004,zip_zcta
ILUC,LU,360,Lung,TX1,7,University of Chicago Medical Center,Chicago,IL,60637,USA,-87.60027391069528,41.782363000000004,zip_zcta
ILUI,KI,4365,Kidney,TX1,7,University of Illinois Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILUI,LI,1291,Liver,TX1,7,University of Illinois Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILVA,KI,587,Kidney,TX1,7,Edward Hines Jr. Veterans Administration Medical Center,Hines,IL,60141,USA,-87.8381976110755,41.860814500000004,zip_zcta
INIM,HR,511,Heart,TX1,10,Indiana University Health,Indianapolis,IN,46202,USA,-86.17524662399525,39.780335,zip_zcta
INIM,KI,6694,Kidney,TX1,10,Indiana University Health,Indianapolis,IN,46202,USA,-86.17524662399525,39.780335,zip_zcta
INIM,LI,3325,Liver,TX1,10,Indiana University Health,Indianapolis,IN,46202,USA,-86.17524662399525,39.780335,zip_zcta
INIM,LU,875,Lung,TX1,10,Indiana University Health,Indianapolis,IN,46202,USA,-86.17524662399525,39.780335,zip_zcta
INLH,HR,173,Heart,TX1,10,Lutheran Hospital of Fort Wayne,Fort Wayne,IN,46804,USA,-85.23703860380802,41.0539375,zip_zcta
