Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.1395 (0.0732 to 0.2059),1.15 (1.08-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,age,covariate,,46788,5582,0.0071 (0.0050 to 0.0093),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,sexM,covariate,,46788,5582,0.0335 (-0.0205 to 0.0876),1.03 (0.98-1.09),0.224,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,raceBLACK,covariate,,46788,5582,-0.4109 (-0.5733 to -0.2485),0.66 (0.56-0.78),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,raceMULTI,covariate,,46788,5582,-0.8125 (-1.3250 to -0.3000),0.44 (0.27-0.74),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,raceMissing,covariate,,46788,5582,-1.5623 (-2.9585 to -0.1661),0.21 (0.05-0.85),0.028,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,raceNATIVE,covariate,,46788,5582,-0.2617 (-0.6894 to 0.1661),0.77 (0.50-1.18),0.231,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,racePACIFIC,covariate,,46788,5582,0.0182 (-0.8006 to 0.8370),1.02 (0.45-2.31),0.965,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,raceWHITE,covariate,,46788,5582,-0.4602 (-0.6021 to -0.3184),0.63 (0.55-0.73),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,zcta_svi_proxy,covariate,,46788,5582,0.2460 (0.0894 to 0.4026),1.28 (1.09-1.50),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46788,5582,-0.0301 (-0.1144 to 0.0541),0.97 (0.89-1.06),0.483,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,age,covariate,,46788,5582,0.0067 (0.0046 to 0.0089),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,sexM,covariate,,46788,5582,0.0331 (-0.0210 to 0.0872),1.03 (0.98-1.09),0.230,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,raceBLACK,covariate,,46788,5582,-0.4058 (-0.5681 to -0.2434),0.67 (0.57-0.78),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,raceMULTI,covariate,,46788,5582,-0.8111 (-1.3236 to -0.2985),0.44 (0.27-0.74),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,raceMissing,covariate,,46788,5582,-1.5739 (-2.9700 to -0.1777),0.21 (0.05-0.84),0.027,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,raceNATIVE,covariate,,46788,5582,-0.2793 (-0.7071 to 0.1484),0.76 (0.49-1.16),0.201,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,racePACIFIC,covariate,,46788,5582,0.0052 (-0.8133 to 0.8237),1.01 (0.44-2.28),0.990,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,raceWHITE,covariate,,46788,5582,-0.4566 (-0.5987 to -0.3145),0.63 (0.55-0.73),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,zcta_svi_proxy,covariate,,46788,5582,0.2666 (0.1097 to 0.4235),1.31 (1.12-1.53),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,50401,5675,0.1238 (0.0735 to 0.1741),1.13 (1.08-1.19),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,age,covariate,,50401,5675,0.0067 (0.0046 to 0.0088),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,sexM,covariate,,50401,5675,0.0322 (-0.0215 to 0.0858),1.03 (0.98-1.09),0.240,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,raceBLACK,covariate,,50401,5675,-0.4328 (-0.5927 to -0.2729),0.65 (0.55-0.76),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,raceMULTI,covariate,,50401,5675,-0.8273 (-1.3389 to -0.3158),0.44 (0.26-0.73),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,raceMissing,covariate,,50401,5675,-1.5780 (-2.7207 to -0.4354),0.21 (0.07-0.65),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,raceNATIVE,covariate,,50401,5675,-0.2419 (-0.6613 to 0.1775),0.79 (0.52-1.19),0.258,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,racePACIFIC,covariate,,50401,5675,0.1126 (-0.6443 to 0.8696),1.12 (0.53-2.39),0.771,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,raceWHITE,covariate,,50401,5675,-0.4560 (-0.5954 to -0.3166),0.63 (0.55-0.73),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,zcta_svi_proxy,covariate,,50401,5675,0.2143 (0.0577 to 0.3708),1.24 (1.06-1.45),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.0883 (0.0103 to 0.1663),1.09 (1.01-1.18),0.026,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46788,5582,0.0752 (0.0155 to 0.1349),1.08 (1.02-1.14),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,age,covariate,,46788,5582,0.0073 (0.0051 to 0.0095),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,sexM,covariate,,46788,5582,0.0352 (-0.0189 to 0.0893),1.04 (0.98-1.09),0.202,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,raceBLACK,covariate,,46788,5582,-0.4134 (-0.5758 to -0.2510),0.66 (0.56-0.78),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,raceMULTI,covariate,,46788,5582,-0.8102 (-1.3225 to -0.2978),0.44 (0.27-0.74),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,raceMissing,covariate,,46788,5582,-1.5337 (-2.9300 to -0.1373),0.22 (0.05-0.87),0.031,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,raceNATIVE,covariate,,46788,5582,-0.2450 (-0.6730 to 0.1830),0.78 (0.51-1.20),0.262,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,racePACIFIC,covariate,,46788,5582,0.0262 (-0.7928 to 0.8451),1.03 (0.45-2.33),0.950,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,raceWHITE,covariate,,46788,5582,-0.4506 (-0.5926 to -0.3085),0.64 (0.55-0.73),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,zcta_svi_proxy,covariate,,46788,5582,0.2209 (0.0632 to 0.3786),1.25 (1.07-1.46),0.006,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.0881 (0.0084 to 0.1677),1.09 (1.01-1.18),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46788,5582,0.0755 (0.0121 to 0.1389),1.08 (1.01-1.15),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46788,5582,0.0014 (-0.0876 to 0.0905),1.00 (0.92-1.09),0.975,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,age,covariate,,46788,5582,0.0073 (0.0051 to 0.0095),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,sexM,covariate,,46788,5582,0.0352 (-0.0189 to 0.0893),1.04 (0.98-1.09),0.202,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,raceBLACK,covariate,,46788,5582,-0.4134 (-0.5759 to -0.2510),0.66 (0.56-0.78),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,raceMULTI,covariate,,46788,5582,-0.8102 (-1.3225 to -0.2979),0.44 (0.27-0.74),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,raceMissing,covariate,,46788,5582,-1.5338 (-2.9303 to -0.1374),0.22 (0.05-0.87),0.031,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,raceNATIVE,covariate,,46788,5582,-0.2451 (-0.6731 to 0.1829),0.78 (0.51-1.20),0.262,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,racePACIFIC,covariate,,46788,5582,0.0263 (-0.7927 to 0.8453),1.03 (0.45-2.33),0.950,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,raceWHITE,covariate,,46788,5582,-0.4507 (-0.5928 to -0.3085),0.64 (0.55-0.73),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,zcta_svi_proxy,covariate,,46788,5582,0.2210 (0.0631 to 0.3790),1.25 (1.07-1.46),0.006,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.3927 (0.3256 to 0.4597),1.48 (1.38-1.58),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,age,covariate,,46788,5582,0.0085 (0.0063 to 0.0106),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,sexM,covariate,,46788,5582,0.0598 (0.0057 to 0.1139),1.06 (1.01-1.12),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,raceBLACK,covariate,,46788,5582,-0.3678 (-0.5302 to -0.2055),0.69 (0.59-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,raceMULTI,covariate,,46788,5582,-0.7191 (-1.2310 to -0.2072),0.49 (0.29-0.81),0.006,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,raceMissing,covariate,,46788,5582,-1.5472 (-2.9433 to -0.1512),0.21 (0.05-0.86),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,raceNATIVE,covariate,,46788,5582,-0.2298 (-0.6577 to 0.1980),0.79 (0.52-1.22),0.292,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,racePACIFIC,covariate,,46788,5582,0.0275 (-0.7915 to 0.8464),1.03 (0.45-2.33),0.948,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,raceWHITE,covariate,,46788,5582,-0.3694 (-0.5113 to -0.2274),0.69 (0.60-0.80),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,zcta_svi_proxy,covariate,,46788,5582,0.1401 (-0.0165 to 0.2968),1.15 (0.98-1.35),0.080,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,organ_score,organ_severity,,46788,5582,0.4137 (0.3849 to 0.4425),1.51 (1.47-1.56),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46788,5582,0.0118 (-0.0743 to 0.0978),1.01 (0.93-1.10),0.789,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,age,covariate,,46788,5582,0.0072 (0.0051 to 0.0093),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,sexM,covariate,,46788,5582,0.0558 (0.0017 to 0.1099),1.06 (1.00-1.12),0.043,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,raceBLACK,covariate,,46788,5582,-0.3629 (-0.5251 to -0.2006),0.70 (0.59-0.82),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,raceMULTI,covariate,,46788,5582,-0.7443 (-1.2564 to -0.2322),0.48 (0.28-0.79),0.004,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,raceMissing,covariate,,46788,5582,-1.5998 (-2.9957 to -0.2040),0.20 (0.05-0.82),0.025,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,raceNATIVE,covariate,,46788,5582,-0.2879 (-0.7158 to 0.1399),0.75 (0.49-1.15),0.187,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,racePACIFIC,covariate,,46788,5582,-0.0125 (-0.8305 to 0.8055),0.99 (0.44-2.24),0.976,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,raceWHITE,covariate,,46788,5582,-0.3769 (-0.5189 to -0.2348),0.69 (0.60-0.79),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,zcta_svi_proxy,covariate,,46788,5582,0.2227 (0.0658 to 0.3797),1.25 (1.07-1.46),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,organ_score,organ_severity,,46788,5582,0.3780 (0.3494 to 0.4066),1.46 (1.42-1.50),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,50401,5675,0.2910 (0.2395 to 0.3424),1.34 (1.27-1.41),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,age,covariate,,50401,5675,0.0080 (0.0059 to 0.0101),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,sexM,covariate,,50401,5675,0.0602 (0.0065 to 0.1139),1.06 (1.01-1.12),0.028,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,raceBLACK,covariate,,50401,5675,-0.3907 (-0.5505 to -0.2309),0.68 (0.58-0.79),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,raceMULTI,covariate,,50401,5675,-0.7317 (-1.2427 to -0.2207),0.48 (0.29-0.80),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,raceMissing,covariate,,50401,5675,-1.5823 (-2.7249 to -0.4397),0.21 (0.07-0.64),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,raceNATIVE,covariate,,50401,5675,-0.1987 (-0.6183 to 0.2209),0.82 (0.54-1.25),0.353,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,racePACIFIC,covariate,,50401,5675,0.1095 (-0.6479 to 0.8668),1.12 (0.52-2.38),0.777,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,raceWHITE,covariate,,50401,5675,-0.3485 (-0.4880 to -0.2091),0.71 (0.61-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,zcta_svi_proxy,covariate,,50401,5675,0.0785 (-0.0783 to 0.2352),1.08 (0.92-1.27),0.327,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,organ_score,organ_severity,,50401,5675,0.4127 (0.3839 to 0.4416),1.51 (1.47-1.56),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.2893 (0.2114 to 0.3672),1.34 (1.24-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46788,5582,0.1613 (0.1011 to 0.2215),1.18 (1.11-1.25),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,age,covariate,,46788,5582,0.0089 (0.0067 to 0.0110),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,sexM,covariate,,46788,5582,0.0639 (0.0097 to 0.1180),1.07 (1.01-1.13),0.021,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,raceBLACK,covariate,,46788,5582,-0.3714 (-0.5338 to -0.2091),0.69 (0.59-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,raceMULTI,covariate,,46788,5582,-0.7099 (-1.2217 to -0.1981),0.49 (0.29-0.82),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,raceMissing,covariate,,46788,5582,-1.4862 (-2.8824 to -0.0899),0.23 (0.06-0.91),0.037,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,raceNATIVE,covariate,,46788,5582,-0.1905 (-0.6186 to 0.2376),0.83 (0.54-1.27),0.383,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,racePACIFIC,covariate,,46788,5582,0.0423 (-0.7769 to 0.8615),1.04 (0.46-2.37),0.919,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,raceWHITE,covariate,,46788,5582,-0.3487 (-0.4908 to -0.2065),0.71 (0.61-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,zcta_svi_proxy,covariate,,46788,5582,0.0829 (-0.0750 to 0.2407),1.09 (0.93-1.27),0.304,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,organ_score,organ_severity,,46788,5582,0.4205 (0.3917 to 0.4494),1.52 (1.48-1.57),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46788,5582,0.2754 (0.1961 to 0.3547),1.32 (1.22-1.43),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46788,5582,0.1804 (0.1165 to 0.2443),1.20 (1.12-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
